dataset,origin,id,doc,summ,model_name,cut,error_type,full_error,annotated_span,annotated_corrections,,,,,,,301,,,,,,,,,,,,,,,,,
CLIFF,xsum,38157000,"Santner, 24, broke his finger in only his second game for the county in 2016. ""There is some unfinished business with Mitch,"" director of cricket Steve Rhodes told Worcestershire's website. ""Last summer he was very unlucky. Losing Mitch was a massive blow to our hopes of qualifying. We'd had a good start and him playing all those games would have been an extra bonus for us."" The left-arm batsman and spinner, who made his Test debut in 2015, will rejoin the Rapids following June's ICC Trophy in England. Santner added: ""I really enjoyed my time at Worcester with a great bunch of lads and it was so frustrating for me to pick up that injury in the very first T20 game. ""It's fantastic that I've got the chance to come back again next summer and hopefully I can make up for lost time and make an impact with bat and ball."" In August, Worcestershire signed Australia pace bowler John Hastings as their main overseas player for the 2017 season across all formats of the game.",Worcestershire have re - signed Australia all - rounder Mitch Santner as their overseas player for the 2017 T20 Blast campaign.,BART,val,intrinsic,['intrinsic-NP'],['Australia'],['left-arm batsman and spinner'],,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,xsum,36437817,"The Queen's Park Rangers player made his NI debut in March and scored in his second game against Slovenia. Washington, a postman just four years ago, followed that up with another goal against Belarus on Saturday. ""The last few months have been a crazy time and I don't think it has sunk in yet. I know I have been fortunate,"" said the 24-year-old. ""Football can be about being in the right place at the right time, and I have been lucky. ""Maybe in a couple of years I will look back and realise how mad it has all been."" Washington  combined representing non-League St Ives between 2010 and 2012 with a job delivering mail. Having averaged more than a goal-a-game in his 50 appearances for a club in the ninth tier, he then got his break with Newport who paid £5,000 for him. The Welsh club were promoted to the Football League in his first season, although Washington barely featured. He then moved to Peterborough in 2014 and by mid-January of this year, when QPR took him from London Road, Washington had scored 15 goals and aroused the interest of Northern Ireland manager Michael O'Neill. Washington had only been to the country once before his international bow against Wales in March but he qualified through the grandparent rule. ""It was nice to be accepted so quickly and so readily with Northern Ireland,"" he added. ""Life doesn't get much better. I'm proud of my achievements and just have to try to enjoy it.""","Newport County striker Ryan Washington has said he is "" proud "" of his achievements with Northern Ireland after scoring twice in his last two games for his country.",BART,test,extrinsic,['extrinsic-NP'],['Ryan'],['Washington'],,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,cnndm,5080147c31cc6633e44594b45b3dc865a031ec43,"Former QPR manager Harry Redknapp feels he still has plenty to offer football but only at the right club, having turned down a 'mind-blowing' offer to coach abroad. The 68-year-old handed in his resignation at Loftus Road in February, citing knee problems behind the decision to leave the Barclays Premier League strugglers, although he later claimed 'people with their own agendas' had a hand in his departure and described the situation at the west London club as 'a bit of a soap opera'. Redknapp will return to the dugout on Sunday, May 31 when he leads a star-studded Men United XI against Leyton Orient Legends, as O's youth coach and Prostate Cancer UK ambassador Errol McKellar hosts a charity football match at The Matchroom Stadium. Harry Redknapp (right) says he would consider a return to management as long as it's at the right club. Redknapp was speaking at the announcement of a Men United XI vs Leyton Orient Legends charity match. The well-travelled former West Ham, Bournemouth, Portsmouth, Southampton and Tottenham manager, Redknapp feels 'fit as a fiddle' again following knee surgery and would relish another crack at a full-time job, but only under certain circumstances. 'It is difficult to know whether you want to go back in again, but if the right offer came along for the right job then I would consider it, because I do love the game and certainly do miss it,' Redknapp said. 'But unless it was the right job I would not bother. It has got to be something which I really wanted to do. 'It would not be a case of the money. I had an offer earlier this week to go and work abroad where the money was incredible, a mind-blowing offer, but at the moment it did not interest me. 'I have my wife here, my grandkids and everything else, so it has got to be something I wanted to do. Redknapp resigned as Queens Park Rangers manager with immediate effect in February. Redknapp left the Loftus Road outfit citing knee problems behind his decision two months ago. The 68-year-old left Queens Park Rangers with the club 19th in the Premier League table at the time. 'I don't have to work any more if I don't want to at my age, but I feel fit as a fiddle and if I could go into a club somewhere, maybe try to get them up from the Championship or somewhere in the Premier League, then I might be interested. 'I could even work with a younger coach to help them and they could then take over as manager in a year or two, to help build the club up; that is something which would interest me but we will have to wait and see what comes along.' While it remains to be seen what chapter will be next in Redknapp's colourful management career, he hopes to see one of his former clubs Bournemouth go on to secure promotion to the top flight for the first time, with the Cherries currently top of the Sky Bet Championship heading into the final three matches. He said: 'The job which Eddie (Howe) has done is second to none. He has been amazing, taking things on to another level. . Redknapp is full of praise for the job current Bournemouth manager Eddie Howe has done at the club. The Cherries sit top of the Championship with three games of the season remaining. 'I can't see them not going up because they are the best team in the league, playing the best football in the division and are a pleasure to watch. They never change their philosophy home or away and are brilliant to watch. 'The owner has come in, Max (Demin) the Russian, and has put his money in, helped take the club on. So you don't know (what they could do after promotion) but I would just like to see them get there.' Redknapp lost close friend and former West Ham team-mate John Bond to prostate cancer and is backing the Men United campaign to help raise awareness of the disease, which is the most common cancer in men with more than 10,000 deaths each year. He said: 'Prostate Cancer is something which can affect any family at any time so it is important that people come out to support this cause. 'We are all scared that if the doctor tells you that you have something wrong, but if you get there early enough it can be cured - you can't let it just go.' Redknapp  lost close friend and former West Ham team-mate John Bond to prostate cancer. People are being urged to search Men United and do something great with their mates via prostatecanceruk.org/menunited. Tickets for the Men United XI match are priced at £10 adults and £5 concessions, and are available from www.lofcdirect.co.uk.","Harry Redknapp resigned as QPR manager with immediate effect in February. The 68 - year - old cited knee problems as the reason behind his decision. The former West Ham, Bournemouth, Portsmouth, Southampton and Tottenham boss says he would consider a return to management if the right club offered him the chance. He turned down a' mind - blowing' offer to coach abroad earlier this week. Redkn app is leading a Men United XI vs Leyton Orient Legends charity match on Sunday, May 31.",BART,val,intrinsic,['intrinsic-NP'],['Redkn app'],['Redknapp'],,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,cnndm,cebceb08d438f8445ae5626e7e9904ed1c286e39,"Caykur Rizespor midfielder Ludovic Obraniak was taken to hospital with a suspected heart problem after being substituted during his side's match against Fenerbahce on Saturday. The Poland international had to be replaced after just 30 minutes before being taken for tests. Caykur Rizespor revealed on social media that Obraniak was not in any immediate danger following preliminary tests. Ludovic Obraniak (left) is currently on loan at Caykur Rizespor from German side Werder Bremen. Moussa Sow celebrates after scoring for Fenerbahce during their 5-1 win on Saturday. There were fears that the 30-year-old, who is on loan from Bundesliga club Werder Bremen had suffered a heart attack but he appears to have given the all-clear. Fenerbahce went on to win the game 5-1 tomove to the top of the Turkish Super Lig. .  .",Caykur Rizespor midfielder Ludovic Obraniak was substituted after 30 minutes against Fenerbahce on Saturday. The 30 - year - old was taken to hospital for tests but has been given the all - clear. Caykur are currently top of the Turkish Super Lig after a 5 - 1 win.,BART,test,intrinsic,['intrinsic-NP'],['Caykur'],['Fenerbahce went on to win the game 5-1 tomove to the top of the Turkish Super Lig'],,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,cnndm,03c2addf1f6af4febd3098c3f8a5b632e1109dad,"Tony Fernandes spoke of his despair after his Queens Park Rangers team twice threw away a lead against Aston Villa, with the Rangers chairman watching the scenes at Villa Park from afar on his iPhone. Christian Benteke's hat-trick earned a draw for Villa, with his last goal coming just seven minutes before full-time, and within five minutes of what had looked like a winner from Charlie Austin. Matt Phillips had earlier given QPR the lead in the first half but taking all three points wasn't to be for the relegation-threatened visitors and they had to settle for a point at Villa Park. Tony Fernandes spoke of his despair after his Queens Park Rangers team twice threw away a lead. Fernandes, Rangers chairman, was watching the 3-3 draw at Villa Park from his iPhone away from the game. Taking all three points wasn't to be for the relegation-threatened visitors and they had to settle for a point. And Fernandes, currently in Malaysia, spoke of his experience of a variety of emotions while watching the game from the other side of the world. 'It's a strange thing thus QPR love,' he tweeted. 'I went to bed at 1 in the morning. I got up exactly at 2.45 am. No alarm. My heart knew it's QPR time. . 'I watched the game on my iPhone all kinds of emotions. Despair, disappointment, joy, but most important pride. 4 points from two away games.' Fernandes revealed that Richard Dunne and Leroy Fer could return for Sunday's visit of Chelsea and that Yun Suk-young would also return after that game. The character of QPR's Clint Hill and Chris Ramsey were praised by their club's chairman on Twitter. Charlie Austin looked like he might have scored a late winner for QPR but Christian Benteke equalised. Clint Hill scored his first Barclays Premier League goal for Rangers' second, and Fernandes was delighted with the display of the veteran centre back, even if he did fail to get to grips with the prolific Benteke. He also reserved praise for manager Chris Ramsey. 'Clint hill typified our fighting spirit,' he posted. 'As I've always said players playing for the badge and Chris Ramsey what a pro.' Finally, Fernandes posted some cryptic tweets as to his own future at the club, perhaps hinting that he would be leaving. Hill had equalised in the second half after hosts Villa led 2-1 at the break courtesy of Benteke's two goals. Matt Phillips opened the scoring for Rangers but they found themselves pegged back by brilliant Benteke. Fernandes is also Global CEO of AirAsia, the airline that saw flight QZ8501 go missing late last year. 'It's been a tough three months since December 28th. Abuse, tragedy, close friends gone but I never stopped believing in all that we do,' Fernandes said. 'The decision on my future has been made. 6 games 18 points. Never stop believing rangers fans. Les also a hero. Never stop believing.' . QPR stay inside the relegation zone but moved up to 18th place with the draw. They face Chelsea at Loftus Road on Sunday in what is sure to be another occasion to play on supporters', and the owners', emotions. .",QPR drew 3 - 3 with Aston Villa at Villa Park on Saturday. Christian Benteke scored a hat - trick to earn a point for Villa. Matt Phillips had earlier given QPR the lead in the first half. Tony Fernandes was watching the game from afar on his iPhone. The QPR chairman spoke of his despair and pride.,BART,val,extrinsic,['extrinsic-NP'],['Saturday'],['QPR drew 3 - 3 with Aston Villa at Villa Park.'],,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,cnndm,41988ddd925836d77f1c4a0ee59f2e0ff103ab90,"Derby County season ticket holders from the 2010-11 campaign might struggle to believe it but Alberto Bueno prepares to face his former club Real Madrid on Wednesday as the highest-scoring Spanish-national in La Liga with a big money move to Porto waiting for him at the end of the season. Bueno played for Derby on loan five years ago, but with just five goals in 29 games he looked anything like Champions League material. After returning to Valladolid he moved to Rayo Vallecano and at the club with one of the lowest budgets in Spanish football he has had the season of his life. Now Champions League quarter-finalists Porto, coached by Spaniard Julen Lopetegui, are ready to poach him. Alberto Bueno (left) in action for Derby against Norwich during his unsuccessful spell with the club. Bueno celebrates scoring for Real Madrid against Real Union in November 2008. Bueno has scored 17 goals for Rayo Vallecano this season and could soon move to Porto. AGE: 27. CLUBS (League record only) Real Madrid (2006-09): 97 apps, 22 goals. Real Madrid (2008-09): 3 apps, 0 goals. Valladolid (2009-13): 85 apps, 13 goals. Derby (loan, 2010-11): 29 apps, 5 goals. Rayo Vallecano (2013-) 65 apps, 26 goals . Seventeen of the 35 goals that Rayo have scored this season have come from Bueno. He hit four in one game earlier this year against Levante and will be gunning for his old club on Wednesday night. Bueno came through at Real Madrid in the 2006-07 season when then manager Fabio Capello fast-tracked him from the C-team to train with David Beckham, Luis Figo and Raul. He eventually made his full debut in both La Liga and the Champions League two seasons later but like so many strikers from Real Madrid’s youth system before him he was going to have to leave to really launch his career. Following in the footsteps of Alvaro Negredo and Roberto Soldado he left the club in 2009 signing for Valladolid from where he spent a season at Derby before ending up back in Spain. Negredo and Soldado both made it into the Spain squad after they succeeded away from Madrid and national team boss Vicente Del Bosque will be watching on Wednesday when Bueno goes up against Sergio Ramos as Rayo Vallecano look to take the scalp of Real Madrid in their rickety atmosphere-charged three-sided Vallecas stadium.  .",Alberto Bueno has scored 17 goals for Rayo Vallecano this season. The 27 - year - old is the highest - scoring Spanish - national in La Liga. Bueno played for Derby on loan in 2010 - 11 but scored just five goals. He has been linked with a move to Porto in the Champions League.,BART,val,intrinsic,['intrinsic-NP'],['Champions League'],['La Liga'],,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,cnndm,4833ce9333ed30e14c1cb859c8be06150e44a86c,"The Miami Open is threatening to turn into national cake week, after Serena Williams became the latest recipient of a giant celebration present after she clocked her 700th career victory. The day following Andy Murray’s 500th win another huge cake was wheeled out to mark Williams reaching the semi-final with a 7-6, 1-6, 6-3 progression over Germany’s Sabine Lisicki. Williams’s hopes of another meeting with sister Venus were dashed by her elder sibling’s defeat to Spain’s Carla Suarez Navarro, but the world No 1 was intent on staying alive in what is the nearest thing she has to a hometown event. Serena Williams strikes a pose next to her cake after recording her 700th career victory. Williams beat Sabine Lisicki in three sets on Wednesday to progress to the semi-finals of the Miami Open. Willaims celebrates as the world No 1 sealed a match against either Sloane Stephens or Simona Halep. Andy Murray pretends to take a bite out a celebratory cake presented to him after winning his 500th match. In a battle of two huge servers, Williams seemed to give away the second set but eventually gained a measure of revenge for the shock defeat she suffered at Wimbledon 2013 against the same opponent, who has never quite been the same since. . Williams will face Romania's Simona Halep for a place in the final after the third-seed beat Sloane Stephens 6-1, 7-5. . Williams plays a backhand during her quarter-final at Crandon Park in Florida on Wednesday. Lisicki and Williams shake hands at the net after the tight match at the Miami Open. Simona Halep celebrates after beating Sloane Stephens to reach the Miami Open semi-finals.",Serena Williams beat Sabine Lisicki in three sets to reach the Miami Open semi - finals. The world No 1 will face either Simona Halep or Sloane Stephens in the final. Williams became the latest player to receive a cake after winning her 700th career match.,BART,test,intrinsic,['intrinsic-NP'],['match'],['700th career victory'],,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,cnndm,01f0f898a0c17984078ecf74d86552d428f751af,"Crystal Palace co-chairman Steve Parish described a 'great moment' as he basked in the glory of his club's 2-1 win over champions Manchester City. After the game, Parish posed for a picture at Selhurst Park with Palace manager Alan Pardew, England boss Roy Hodgson and Bill Wyman - one of the original members of The Rolling Stones and avid Palace fan. Parish posted the picture on Instagram, writing: 'Great moment for me , AP, the England manager, one of the original @RollingStones @bill_wyman.' . Writing in his FourFourTwo column broadcaster Geoff Shreeves, who was also in the Palace boardroom after the game, said: '(Bill Wyman) has been an avid supporter for 68 years, having attended his first game aged 10. 'He can name virtually every player in that period, despite having spent 30 of those years in The Rolling Stones. 'Bill Wyman is not only a charming man but also somebody with a genuine passion for the game and its traditions. Wyman (back right) with fellow members of The Rolling Stones back in 1964. 'Given Bill’s rock-star status, Steve Parish overlooked his normally strict rule that you must wear a shirt and tie in the boardroom.' Hodgson, who was a youth team player for Palace in the 1960s and is from the area, will have been casting his eye over a host of English players. Pardew used seven Englishmen including matchwinner Jason Puncheon, while England No 1 Joe Hart and utility man James Milner both played for City. Jason Puncheon (right) celebrates his goal with fellow Englishman Wilfried Zaha.",Crystal Palace beat Manchester City 2 - 1 at Selhurst Park on Saturday. Co - chairman Steve Parish posed for a picture with Roy Hodgson and Bill Wyman after the game. Wyman is one of the original members of The Rolling Stones and an avid Palace fan. Hodgson was a youth team player for Palace in the 1960s.,BART,val,extrinsic,['extrinsic-NP'],['Saturday'],['Crystal Palace beat Manchester City 2 - 1 at Selhurst Park.'],,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,cnndm,328038379b62820b80d564f58587cc3f407642c8,"At the grand old age of 75, Jack Nicklaus is still capable of hitting aces. The Golden Bear added another magic moment to his storied career at Augusta National in the Par-3 Contest. Stepping up to the tee on the 130-yard fourth, the greatest golfer of all time saw his shot sail beyond the flag before spinning back into the hole. Jack Nicklaus gave the crowd something to cheer with a hole in one on the fourth during the Par-3 Contest. Nicklaus holds up his ball to an adoring crowd as Gary Player (left) and Ben Crenshaw salute the great. Crenshaw and Nicklaus fist pump following his ace on the 130-yard hole at Augusta National. Nicklaus was playing alongside Gary Player and Ben Crenshaw  as the first roar of Masters week filled the skies in a sunswept Georgia. 'I had an interview this morning, and I said ""well, all I've got to do is go out and win the Par-3 and make a hole and one"", and I make a hole in one,' Nicklaus said afterwards. . The ace was Nicklaus' first on the hallowed turf of Augusta, but the veteran saw his achievement eclipsed by that of Camilo Villegas on a day which saw five hole-in-ones, levelling the record from 2002. The Colombian followed Nicklaus with an ace on the fourth and also managed one on the eighth, but he couldn't quite land the title, losing out to world No 74 Kevin Streelman in a play-off. Nicklaus became the youngest person to wear a green jacket in 1963, and collected his sixth in 1986. He is one of five men to complete the career grand slam, an accolade which favourite Rory McIlroy can achieve if he wins his third major in succession.",Jack Nicklaus hit a hole in one on the fourth during the Par-3 Contest. The 75 - year - old was playing alongside Gary Player and Ben Crenshaw. Camilo Villegas and Kevin Streelman also hit hole - in - ones on the day.,BART,test,intrinsic,['intrinsic-NP'],['Kevin Streelman'],['Camilo Villegas also hit hole - in - ones'],,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,cnndm,e0a5406bd964ee77d6af8079972138d3972179bb,"Tony Pulis returned to Selhurst Park for the first time since he left Crystal Palace and masterminded a victory which pulled his West Bromwich Albion side to the edge of safety. Alan Pardew tried new ideas on the pitch to outwit Pulis but an early goal from James Morrison and stunner from Craig Gardner meant he could not deliver a satisfying result against the man who left Palace two days before this season kicked off. Despite the timing of his departure, however, there was very little bad blood between Palace’s fans and Pulis who was roundly applauded as he came out from the tunnel in the corner of a ground where the seats are close to the pitch and the crowd can be unforgiving. A few boos broke the surface, but they were drowned out by waves of the respect he deserved for saving them from relegation last season, during his 10-month tenure, when he won the Premier League LMA Manager of the Year award. West Brom midfielder Craig Gardner celebrates having scored the second for Tony Pulis' side with a fine long ranged effort . Before two minutes on the clock, James Morrison (right) headed West Brom ahead following a corner from team-mate Chris Brunt. The West Brom players race to congratulate Morrison (top left), who headed the away side in front against Crystal Palace on Saturday.  . Crystal Palace (4-3-3): Speroni 6; Ward 6, Delaney 6, Dann 6, Ledley 6 (Souare 46 6); McArthur 6 (Sanogo 80), Jedinak 6 (Gayle 46 6), Puncheon 6.5; Zaha 6.5, Murray 6.5, Bolasie 8. Subs not used: Hennessey, Hangeland, Kelly, Ameobi. Manager: Alan Pardew 5.5. Booked: Puncheon, Dann, Bolasie. West Brom (4-4-2): Myhill 8.5; Dawson 6 (Wisdom 71 6), McAuley 6.5, Lescott 6.5, Brunt 7; Morrison 7, Fletcher 6, Yacob 6, Gardner 7.5 (Olsson 81); Berahino 6 (Baird 88), Anichebe 6. Subs not used: Rose, McManaman, Sessegnon, Ideye. Manager: Tony Pulis 7.5. Booked: McAuley, Gardner, Brunt. Referee: Jonathan Moss 7. MOTM: Myhill . Attendance: 24,765.  . Craig Gardner scored a fine long range effort at Selhurst Park (above). CLICK HERE to see more from Sportsmail's MATCH ZONE. ‘You never know what to expect,’ Pulis said in regard to returning to a former club. ‘They did well for me last year and I hope I repaid them a little bit in respect to what we did in the dressing room and on the pitch. ‘It is a good club. It has got unbelievable potential and I mean that. The supporters are wonderful and they have a good manager. They can push on – if Alan is given the money and the opportunity to push this club forward this club could be a good club.’ Yannick Bolasie even made the effort to go over and shake Pulis’ hand as he strolled down the touchline. Yet the south London locals would not have been expecting what came within two minutes of kick off when West Brom took the lead. Chris Bunt swung in a corner from the left and James Morrison managed to lose Palace midfielder Jason Puncheon and nod in, completely free, from five yards out. Some of Puncheon’s team-mates looked around in disbelief that the West Brom man was afforded so much space in the box. ‘That was a weakness in our set up that Tony exploited,’ Pardew admitted. ‘It was well worked. Their guy took Puncheon to the edge of the box where he is not comfortable marking. ‘We knew Tony would know the players well, know the strengths and weaknesses, I tried to throw a few ideas in on the pitch. They didn’t come off. . Crystal Palace winger Yannick Bolasie greets former Eagles boss Tony Pulis (right) before kick-off at Selhurst Park on Saturday afternoon. Claudio Yacob of West Brom (right) tracks the run of Crystal Palace's Wilfried Zaha during their Premier League clash in South London. Mile Jedinak of Crystal Palace (right) battles with Victor Anichebe of West Bromwich Albion for possession in the air at Selhurst Park. West Brom captain Darren Fletcher (right) celebrates with goalscorer James Morrison after his early header at Crystal Palace. ‘Our fans are terrific in terms of the understanding of what Tony did here last year, they respected that. People know Tony does an honest job, he plays the game his way and we respect that.’ Despite that early set back, however, Crystal Palace started to play the eye-catching football that has made Pardew so popular in these parts during his short spell in charge. And it was all coming through their main man, Bolasie, on the left. In the 24th minute he weaved into the box, played a one-two then poked an effort towards the near post which West Brom goalkeeper Boaz Myhill did well to save with his feet. Three minutes later he cut in from his flank and bent an effort towards the far corner that Myhill clawed out. Then, just after the half-hour, a ball came in from the opposite flank from Joel Ward, was headed on by Glenn Murray and Bolasie executed a sublime bicycle kick, only to be denied by Myhill once again. . If Pulis, dressed in his usual full tracksuit, trainers and cap on the touchline, provided this Crystal Palace team with the spine and solidity to compete in the top flight, Pardew, resplendent in suit and tie, has given them the suave and flair to delight. In this instance, Pulis’ resilient style prevailed and against the run of play they added a second on 53 minutes. The ball came out from a West Brom corner and Gardner took a touch before, 30 yards out and slightly to the right of goal, he buried a right-foot strike over Julian Speroni into the left of goal. It is almost mission accomplished for Pulis at West Brom as they moved to 36 points and put a healthy gap between themselves and the bottom three. . Crystal Palace midfielder James McArthur controls the ball with West Brom's Chris Brunt fast approaching at Selhurst Park. Victor Anichebe of West Brom takes on Scott Dann (left) and Jason Puncheon of Crystal Palace (right) during the Premier League contest. Chris Brunt of West Brom and Glenn Murray of Crystal Palace vie for possession during the Premier League match at Selhurst Park. Gardner lets fly with this long range strike, which ended up doubling West Brom's lead at the Selhurst Park on Saturday afternoon. The West Brom midfielder is congratulated by team-mate Joleon Lescott (right) as he celebrates his fine solo strike in the second-half. West Brom keeper Boaz Myhill  falls in to the goal netting after failing to keep out Craig Gardner's long range strike on Saturday. Pape N'Diaye Souare of Crystal Palace (left) and James Morrison of West Brom compete for the ball during the Premier League clash. Crystal Palace winger Yannick Bolasie (right) was lively once again but couldn't stop Alan Pardew's side falling to a 2-0 home defeat. West Brom manager Tony Pulis (centre) barks out the instructions on the touchline as he witnessed his side take three valuable points. Victor Anichebe of West Brom and Pape N'Diaye Souare of Crystal Palace challenge for the ball at Selhurst Park during their league contest. Crystal Palace's striker Yaya Sanogo scores only for his goal to be disallowed during the 2-0 defeat to West Brom on Saturday. Both sets of players vie for the ball as a cross heads into the box at Selhurst Park as West Brom defeated the south Londoners 2-0 on Saturday.",James Morrison headed West Brom ahead after just two minutes at Selhurst Park. West Brom midfielder Craig Gardner scored a fine long range effort in the second half. Tony Pulis returned to his former club for the first time since leaving two days before the start of the season. Pulis won the Premier League LMA Manager of the Year award last season.,BART,test,intrinsic,['intrinsic-NP'],"['after', 'his former club']","['Before two minutes', 'after just two minutes']",,,,,,,,,,,,,,,,,,,,,,,,
CLIFF,cnndm,83d6436741b1022766c9baa31ffc00748fa415ec,"On Thursday, NPR -- headquartered in Washington, just 40 miles away from Baltimore -- ran its latest update on the urban turmoil that has erupted in the wake of the death of 25-year-old Freddie Gray because of still-unexplained spinal injuries that occurred while he was under police custody. Unfortunately, while it was a freshly produced segment, it was hardly a new story. Titled ""Baltimore Unrest Reveals Tensions Between African-Americans And Asians,"" the five-minute piece is urgently introduced with the promise that it will reveal ""what's really happening in the more troubled neighborhoods of this majority black city,"" going on state that a key ingredient of the unrest was African-Americans ""targeting Asian-owned businesses for destruction."" A similar claim was made after Ferguson's uprising in August of last year. Indeed, it has been a toxic feature of the coverage of many episodes of mass metropolitan violence since the late 1980s, the era during which the trope of widespread hostility between Asian and black communities first took root in the media consciousness. Yes, interethnic tensions continue to exist, though they are hardly limited to Asians and blacks. And yes, this has resulted in troubling incidents and tragedies on both sides. But while reports say that during the chaotic social breakdowns of the past year, black-owned businesses were mostly protected during bouts of violence, there's little evidence to suggest a pattern in which Asian businesses have been actively targeted out of racial animus. Instead, it seems as if Asian-owned stores have experienced damage partly because they make up a portion of establishments operating in the most economically vulnerable and socially volatile of neighborhoods. In other words, they were collateral damage, along with other stores in the vicinity of riots. So it's time to call this persistent meme what it is: A misleading, hyperbolic and dangerous distraction, one that shifts blame away from the real issues. As Jennifer Lee, sociology professor at University of California, Irvine, and author of the 2002 book ""Civility in the City: Blacks, Jews and Koreans in Urban America,"" notes, ""the mainstream media continues to pit minority groups against one another to draw attention from larger structural problems that plague poor, disadvantaged communities. By directing our attention to interminority conflict, it directs blame away from the structures that perpetuate gross inequality and toward individual problems."" Let's be honest. There were then -- and still are -- legitimate issues that exist between immigrant storeowners and the largely African American customers they serve that are rooted in extensive cultural differences. There's no denying that friction exists in the daily transaction between embattled communities trying hard to coexist under economic and social pressures. For example, in 1993, the robbery and shooting of Joel Lee, a 21-year-old Korean American at Towson State University, and the subsequent acquittal of his killer, was a point of contention between the Korean and African American communities. But things are different now. Decades after the height of media-inflamed tension between Asian and African Americans, patterns of immigration have shifted. Stores once operated by recent Korean immigrants are now owned by strivers from South Asia, the Middle East and Africa. The population of Baltimore has shrunk and its economy has contracted. Among merchants, there's ever-greater recognition that they and their customers are tied by a red thread, surviving or failing together. For decades, black and Asian advocacy groups have been trying to bridge differences between the communities. For example, the Baltimore-based Korean-American Grocers & Licensed Beverage Association of Maryland, founded in 1995, has worked to support its entrepreneurial members in their own attempts to address longstanding issues of neglect and abuse by Baltimore's police, while also encouraging them to build deeper ties with their constituents. A KAGRO-sponsored annual scholarship program has given hundreds of thousands of dollars in college grants to children growing up in the Baltimore neighborhoods their member retailers serve. These aren't the kind of stories you'll hear in the media. It's easier to focus on attention-grabbing anecdotes rather than the long, hard work of adjustment and accommodation going on within and around communities. Back in 1995, the Baltimore Sun profiled Soon Jae and Eun Ja Lee, owners of Lee's Food Market in the West Baltimore's Sandtown neighborhood -- the same part of the city that NPR called out as a locus of Asian-black tension. The story highlighted the Lees' openness to the community, their politeness and care for their customers and their outstanding generosity, which includes both free snacks to schoolchildren and the distribution of tens of thousands of free food baskets to needy local families each year. I spoke with Eun Ja Lee, calling her without warning to check on the status of the Lees' four-decade-old business after the violence of Monday and Tuesday. Were they open? Were they safe? ""Oh, of course we're open, we're always open!"" said Mrs. Lee, warmly and brightly. ""This week, many customers came in and said to me 'Mrs. Lee, don't worry you are part of our community, you are our family. We will make sure you are OK -- just stay open!' We love it. We love it."" And yet, no one has come and interviewed her at their untouched and fully operational family market, nor have they talked with her customers, stoutly loyal after 37 years of patronage. Reinforcing the tired narrative of black-Asian interracial tension generates heat, but not light. There's a far more complex and nuanced relationship between these two urban populations, one that is in an ongoing state of evolution -- and it deserves to be told, not buried under cliches and clickbait.",An NPR report on the unrest in Baltimore focused on tensions between blacks and Asians. Ruben Navarrette: There's little evidence that Asian businesses were targeted out of racial animus. He says the trope of widespread hostility between Asian and black communities first took root in the 1980s. Navanrette: The mainstream media continues to pit minority groups against one another.,BART,val,extrinsic,['extrinsic-NP'],"['Ruben Navarrette:', 'Navanrette:']","['reports say', 'Jennifer Lee']",,,,,,,,,,,,,,,,,,,,,,,,
